id,snapshot_id,period,period_type,year,month,segment,component_name,category,actual,target
cm_2022_mpo_tad_upah_gaji_tunjangan_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,"Upah, Gaji & Tunjangan",pendapatan,2280704053085.0,2409317846763.0
cm_2022_mpo_tad_insentif_bonus_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Insentif & Bonus,pendapatan,14994710841.0,16728918018.0
cm_2022_mpo_tad_seragam_reliver_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Seragam & Reliver,pendapatan,32867264686.0,34224267316.0
cm_2022_mpo_tad_rekrutmen_pendidikan_pembinaan_hubungan_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,"Rekrutmen, Pendidikan, Pembinaan & Hubungan",pendapatan,82650123.0,88655832.0
cm_2022_mpo_tad_pesangon_dplk_kompensasi_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,"Pesangon, DPLK, Kompensasi",pendapatan,101440623540.0,111417061473.0
cm_2022_mpo_tad_thr_hari_keagamaan_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,THR & Hari Keagamaan,pendapatan,121212648471.0,123335488714.0
cm_2022_mpo_tad_pengganti_sementara_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Pengganti Sementara,pendapatan,217735143834.0,228683490726.0
cm_2022_mpo_tad_tender_koreksi_lainnya_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,"Tender, Koreksi & Lainnya",pendapatan,1486588.0,1624004.0
cm_2022_mpo_tad_management_fee_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Management Fee,pendapatan,228201036608.0,232057659069.0
cm_2022_mpo_tad_operasional_tenaga_kerja_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Operasional Tenaga Kerja,pendapatan,1353143758.0,1395104401.0
cm_2022_mpo_tad_medical_pengobatan_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Medical & Pengobatan,pendapatan,1566361233.0,1631713413.0
cm_2022_mpo_tad_rapel_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Rapel,pendapatan,3116866365.0,3212492835.0
cm_2022_mpo_tad_bahan_alat_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,Bahan & Alat,pendapatan,751041564.0,816737562.0
cm_2023_mpo_tad_upah_gaji_tunjangan_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,"Upah, Gaji & Tunjangan",pendapatan,2175547819405.0,2232887498889.0
cm_2023_mpo_tad_insentif_bonus_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Insentif & Bonus,pendapatan,82579468136.0,85262282238.0
cm_2023_mpo_tad_seragam_reliver_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Seragam & Reliver,pendapatan,39918589796.0,41396014793.0
cm_2023_mpo_tad_rekrutmen_pendidikan_pembinaan_hubungan_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,"Rekrutmen, Pendidikan, Pembinaan & Hubungan",pendapatan,246298629.0,261417504.0
cm_2023_mpo_tad_pesangon_dplk_kompensasi_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,"Pesangon, DPLK, Kompensasi",pendapatan,101586399948.0,102365746977.0
cm_2023_mpo_tad_thr_hari_keagamaan_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,THR & Hari Keagamaan,pendapatan,129976180328.0,130636454454.0
cm_2023_mpo_tad_pengganti_sementara_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Pengganti Sementara,pendapatan,202162404691.0,223380154623.0
cm_2023_mpo_tad_tender_koreksi_lainnya_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,"Tender, Koreksi & Lainnya",pendapatan,1511080.0,1577880.0
cm_2023_mpo_tad_management_fee_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Management Fee,pendapatan,217539488757.0,240332597939.0
cm_2023_mpo_tad_operasional_tenaga_kerja_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Operasional Tenaga Kerja,pendapatan,272940703.0,288738010.0
cm_2023_mpo_tad_medical_pengobatan_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Medical & Pengobatan,pendapatan,1439333688.0,1499857793.0
cm_2023_mpo_tad_rapel_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Rapel,pendapatan,5163029880.0,5484180182.0
cm_2023_mpo_tad_bahan_alat_pendapatan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,MPO - TAD,Bahan & Alat,pendapatan,5769404119.0,5688673243.0
cm_2024_mpo_tad_upah_gaji_tunjangan_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,"Upah, Gaji & Tunjangan",pendapatan,2520897254956.0,2213122473185.0
cm_2024_mpo_tad_insentif_bonus_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Insentif & Bonus,pendapatan,89005014576.0,81343445964.0
cm_2024_mpo_tad_seragam_reliver_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Seragam & Reliver,pendapatan,40454716864.0,39322414735.0
cm_2024_mpo_tad_rekrutmen_pendidikan_pembinaan_hubungan_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,"Rekrutmen, Pendidikan, Pembinaan & Hubungan",pendapatan,460681017.0,437672792.0
cm_2024_mpo_tad_pesangon_dplk_kompensasi_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,"Pesangon, DPLK, Kompensasi",pendapatan,108187090698.0,101182968132.0
cm_2024_mpo_tad_thr_hari_keagamaan_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,THR & Hari Keagamaan,pendapatan,136883638494.0,120672589287.0
cm_2024_mpo_tad_pengganti_sementara_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Pengganti Sementara,pendapatan,234422370717.0,213676093075.0
cm_2024_mpo_tad_tender_koreksi_lainnya_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,"Tender, Koreksi & Lainnya",pendapatan,833146.0,767026.0
cm_2024_mpo_tad_management_fee_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Management Fee,pendapatan,257555614063.0,228144119132.0
cm_2024_mpo_tad_operasional_tenaga_kerja_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Operasional Tenaga Kerja,pendapatan,158475450.0,146207890.0
cm_2024_mpo_tad_medical_pengobatan_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Medical & Pengobatan,pendapatan,1686077664.0,1508995364.0
cm_2024_mpo_tad_rapel_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Rapel,pendapatan,5996418321.0,5881191976.0
cm_2024_mpo_tad_bahan_alat_pendapatan,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,MPO - TAD,Bahan & Alat,pendapatan,21119970328.0,18620018927.0
cm_2025_mpo_tad_upah_gaji_tunjangan_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,"Upah, Gaji & Tunjangan",pendapatan,2465575874067.0,2580941573504.0
cm_2025_mpo_tad_insentif_bonus_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,Insentif & Bonus,pendapatan,124413053504.0,128258555434.0
cm_2025_mpo_tad_seragam_reliver_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,Seragam & Reliver,pendapatan,36820020106.0,39839823977.0
cm_2025_mpo_tad_rekrutmen_pendidikan_pembinaan_hubungan_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,"Rekrutmen, Pendidikan, Pembinaan & Hubungan",pendapatan,140408658.0,145874983.0
cm_2025_mpo_tad_pesangon_dplk_kompensasi_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,"Pesangon, DPLK, Kompensasi",pendapatan,118011210779.0,124043552625.0
cm_2025_mpo_tad_thr_hari_keagamaan_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,THR & Hari Keagamaan,pendapatan,127264182228.0,140051224827.0
cm_2025_mpo_tad_pengganti_sementara_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,Pengganti Sementara,pendapatan,251177721024.0,262068968580.0
cm_2025_mpo_tad_tender_koreksi_lainnya_pendapatan,snapshot_istantoro_2022_mar_2026,2025,annual,2025,,MPO - TAD,"Tender, Koreksi & Lainnya",pendapatan,0.0,0.0
