id,snapshot_id,period,period_type,year,month,segment,category,actual,target
fm_2022_mpo_tad_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,pendapatan,2879164220758.0,3158715105066.0
fm_2022_mpo_tad_beban_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,beban_operasional,2822903853516.0,2989948612522.0
fm_2022_mpo_tad_pendapatan_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,pendapatan_non_operasional,10747455897.0,5518979146.0
fm_2022_mpo_tad_beban_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,beban_non_operasional,1102502600.0,2467842476.0
fm_2022_mpo_tad_laba_usaha,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,laba_usaha,207204989974.0,220851855162.0
fm_2022_mpo_tad_laba_sebelum_pajak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - TAD,laba_sebelum_pajak,216292735902.0,225169467337.0
fm_2022_mpo_rab_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - RAB,pendapatan,34449032504.0,29877636256.0
fm_2022_mpo_rab_beban_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - RAB,beban_operasional,7298704172.0,4695790446.0
fm_2022_mpo_rab_pendapatan_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - RAB,pendapatan_non_operasional,131150925.0,53684993.0
fm_2022_mpo_rab_beban_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - RAB,beban_non_operasional,13775784.0,23350564.0
fm_2022_mpo_rab_laba_usaha,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - RAB,laba_usaha,27610546102.0,25881785651.0
fm_2022_mpo_rab_laba_sebelum_pajak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,MPO - RAB,laba_sebelum_pajak,30485484655.0,26723558896.0
fm_2022_bpo_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,BPO,pendapatan,163526215098.0,116436427782.0
fm_2022_bpo_beban_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,BPO,beban_operasional,110844635611.0,85332309595.0
fm_2022_bpo_pendapatan_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,BPO,pendapatan_non_operasional,551997929.0,206614350.0
fm_2022_bpo_beban_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,BPO,beban_non_operasional,57382417.0,89014015.0
fm_2022_bpo_laba_usaha,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,BPO,laba_usaha,43273156747.0,29499516133.0
fm_2022_bpo_laba_sebelum_pajak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,BPO,laba_sebelum_pajak,44758588654.0,29707803149.0
fm_2022_kpo_diklat_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - DIKLAT,pendapatan,15859313965.0,11930858139.0
fm_2022_kpo_diklat_beban_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - DIKLAT,beban_operasional,13785283032.0,10300280980.0
fm_2022_kpo_diklat_pendapatan_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - DIKLAT,pendapatan_non_operasional,58167001.0,21007572.0
fm_2022_kpo_diklat_beban_non_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - DIKLAT,beban_non_operasional,5763293.0,9552803.0
fm_2022_kpo_diklat_laba_usaha,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - DIKLAT,laba_usaha,1849508961.0,1651072433.0
fm_2022_kpo_diklat_laba_sebelum_pajak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - DIKLAT,laba_sebelum_pajak,1914382782.0,1679502672.0
fm_2022_kpo_training_pendapatan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - TRAINING,pendapatan,1491351294.0,796522083.0
fm_2022_kpo_training_beban_operasional,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,KPO - TRAINING,beban_operasional,1026967109.0,310713812.0
