id,snapshot_id,period,period_type,year,month,account_code,account_name,account_group,actual,target
nr_2022_nr005_total_aset,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR005_TOTAL_ASET,TOTAL ASET,aset,872057441491.0,0.0
nr_2022_nr006_aset_lancar,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR006_ASET_LANCAR,ASET LANCAR,aset,674693227074.0,0.0
nr_2022_nr007_kas,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR007_KAS,KAS,aset,313640815.0,0.0
nr_2022_nr008_bank,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR008_BANK,BANK,aset,126201307870.0,0.0
nr_2022_nr009_deposito,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR009_DEPOSITO,DEPOSITO,aset,271856599893.0,0.0
nr_2022_nr010_deposito_dijaminkan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR010_DEPOSITO_DIJAMINKAN,DEPOSITO YANG DI JAMINKAN,aset,0.0,0.0
nr_2022_nr011_persediaan_meterai,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR011_PERSEDIAAN_METERAI,PERSEDIAAN METERAI,aset,78952179.0,0.0
nr_2022_nr012_surat_surat_berharga,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR012_SURAT_SURAT_BERHARGA,SURAT SURAT BERHARGA,aset,0.0,0.0
nr_2022_nr013_piutang_captive,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR013_PIUTANG_CAPTIVE,PIUTANG CAPTIVE,aset,68310321422.0,0.0
nr_2022_nr014_piutang_non_captive,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR014_PIUTANG_NON_CAPTIVE,PIUTANG NON CAPTIVE,aset,150375962572.0,0.0
nr_2022_nr015_piutang_jasa_pendidikan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR015_PIUTANG_JASA_PENDIDIKAN,PIUTANG JASA PENDIDIKAN,aset,9422120364.0,0.0
nr_2022_nr016_jumlah_piutang,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR016_JUMLAH_PIUTANG,JUMLAH PIUTANG,aset,228710391862.0,0.0
nr_2022_nr017_penyisihan_piutang,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR017_PENYISIHAN_PIUTANG,PENYISIHAN PENGHAPUSAN PIUTANG,aset,-8577260818.0,0.0
nr_2022_nr018_piutang_bersih,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR018_PIUTANG_BERSIH,PIUTANG BERSIH,aset,218376136084.0,0.0
nr_2022_nr019_piutang_lainnya,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR019_PIUTANG_LAINNYA,PIUTANG LAINNYA,aset,42011220073.0,0.0
nr_2022_nr020_piutang_inter_company,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR020_PIUTANG_INTER_COMPANY,PIUTANG INTER COMPANY,aset,634593223.0,0.0
