id,snapshot_id,sheet_name,row_index,payload_json
wr_masterfile_neraca_1,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,1,"[""ISTANTORO HUMAN SOLUTIONS"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_2,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,2,"[""LAPORAN POSISI KEUANGAN"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_3,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,3,"[""28 FEBRUARI 2026"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_4,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,4,"[""KETERANGAN"", ""RKAP 2026"", ""2022"", ""2023"", ""2024"", ""Jan-25"", ""Feb-25"", ""Mar-25"", ""Apr-25"", ""May-25"", ""Jun-25"", ""Jul-25"", ""Aug-25"", ""Sep-25"", ""Oct-25"", ""Nov-25"", ""Dec-25"", ""Jan-26"", ""Feb-26"", ""Mar-26"", ""Apr-26"", ""May-26"", ""Jun-26"", ""Jul-26"", ""Aug-26"", ""Sep-26"", ""Oct-26"", ""Nov-26"", ""Dec-26""]"
wr_masterfile_neraca_5,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,5,"[""TOTAL ASET"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_6,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,6,"[""ASET LANCAR"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_7,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,7,"[""KAS"", "" 1,371,487 "", "" 363,794 "", "" 1,233,448 "", "" 541,750 "", "" 735,097 "", "" 465,007 "", "" 432,764 "", "" 1,263,324 "", "" 951,853 "", "" 1,118,023 "", "" 675,316 "", "" 556,395 "", "" 423,277 "", "" 769,537 "", "" 469,601 "", "" 278,183 "", "" 271,262 "", "" 299,663 "", "" 389,437 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_8,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,8,"[""BANK"", "" 23,039,456 "", "" 137,464,882 "", "" 103,444,809 "", "" 50,477,552 "", "" 42,410,228 "", "" 45,071,025 "", "" 60,763,887 "", "" 46,440,812 "", "" 59,406,178 "", "" 45,801,041 "", "" 48,326,901 "", "" 48,984,161 "", "" 189,297,193 "", "" 239,307,531 "", "" 153,084,560 "", "" 104,970,568 "", "" 41,099,116 "", "" 284,843,070 "", "" 284,171,981 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_9,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,9,"[""DEPOSITO"", "" 54,500,000 "", "" 303,800,000 "", "" 173,000,000 "", "" 187,300,000 "", "" 114,300,000 "", "" 109,300,000 "", "" 77,900,000 "", "" 1,000,000 "", "" -   "", "" 26,200,000 "", "" 1,000,000 "", "" 1,000,000 "", "" 26,000,000 "", "" 4,500,000 "", "" 11,000,000 "", "" 38,000,000 "", "" 71,000,000 "", "" 21,000,000 "", "" 1,000,000 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_10,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,10,"[""DEPOSITO YANG DI JAMINKAN"", "" 252,800,000 "", null, "" 203,600,000 "", "" 203,600,000 "", "" 203,600,000 "", "" 203,600,000 "", "" 203,600,000 "", "" 228,600,000 "", "" 228,600,000 "", "" 227,600,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", "" 252,800,000 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_11,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,11,"[""PERSEDIAAN METERAI"", "" 3,000 "", "" 88,123 "", "" 84,673 "", "" 5,564 "", "" 8,554 "", "" 8,864 "", "" 6,164 "", "" 6,064 "", "" 11,794 "", "" 3,984 "", "" 8,564 "", "" 6,934 "", "" 3,684 "", "" 7,844 "", "" 7,184 "", "" 6,854 "", "" 6,064 "", "" 11,744 "", "" 12,184 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_12,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,12,"[""SURAT SURAT BERHARGA"", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", "" -   "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_13,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,13,"[""PIUTANG CAPTIVE"", "" 14,486,739 "", "" 76,035,088 "", "" 144,578,481 "", "" 12,629,514 "", "" 22,007,253 "", "" 19,129,198 "", "" 13,317,685 "", "" 24,072,847 "", "" 12,880,376 "", "" 1,922,917 "", "" 2,632,265 "", "" 14,202,942 "", "" 13,360,933 "", "" 12,855,946 "", "" 3,370,748 "", "" 19,585,415 "", "" 17,383,108 "", "" 7,924,444 "", "" 8,206,569 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_14,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,14,"[""PIUTANG NON CAPTIVE"", "" 251,400,657 "", "" 172,755,268 "", "" 175,548,244 "", "" 368,529,289 "", "" 449,234,421 "", "" 487,442,734 "", "" 480,829,523 "", "" 490,338,919 "", "" 466,797,564 "", "" 465,728,799 "", "" 439,189,917 "", "" 453,364,921 "", "" 423,139,530 "", "" 427,551,716 "", "" 424,770,786 "", "" 320,283,590 "", "" 356,068,160 "", "" 392,671,266 "", "" 421,412,590 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_15,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,15,"[""PIUTANG JASA PENDIDIKAN"", "" 1,472,953 "", "" 10,800,492 "", "" 2,150,528 "", "" 730,777 "", "" 2,758,920 "", "" 3,378,510 "", "" 1,406,644 "", "" 1,337,331 "", "" 1,382,601 "", "" 1,410,302 "", "" 919,293 "", "" 1,242,350 "", "" 1,358,486 "", "" 1,895,402 "", "" 1,788,086 "", "" 2,339,733 "", "" 2,714,958 "", "" 3,033,397 "", "" 3,151,215 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_16,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,16,"[""JUMLAH PIUTANG"", "" 267,360,349 "", "" 259,590,848 "", "" 322,277,254 "", "" 381,889,580 "", "" 474,000,594 "", "" 509,950,442 "", "" 495,553,851 "", "" 515,749,096 "", "" 481,060,541 "", "" 469,062,017 "", "" 442,741,475 "", "" 468,810,213 "", "" 437,858,948 "", "" 442,303,064 "", "" 429,929,621 "", "" 342,208,738 "", "" 376,166,226 "", "" 403,629,108 "", "" 432,770,373 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_17,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,17,"[""PENYISIHAN PENGHAPUSAN PIUTANG"", "" (20,052,026)"", "" (9,523,022)"", "" (20,785,078)"", "" (26,232,942)"", "" (14,199,487)"", "" (14,199,487)"", "" (26,232,942)"", "" (26,232,942)"", "" (26,232,942)"", "" (26,232,942)"", "" (26,765,994)"", "" (33,015,442)"", "" (33,455,442)"", "" (33,755,442)"", "" (35,755,442)"", "" (35,750,662)"", "" (35,750,662)"", "" (35,750,662)"", "" (35,750,662)"", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_18,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,18,"[""PIUTANG BERSIH"", "" 247,308,323 "", "" 250,067,826 "", "" 301,492,176 "", "" 355,656,638 "", "" 459,801,108 "", "" 495,750,955 "", "" 469,320,910 "", "" 489,516,154 "", "" 454,827,599 "", "" 442,829,076 "", "" 415,975,481 "", "" 435,794,771 "", "" 404,403,506 "", "" 408,547,623 "", "" 394,174,179 "", "" 306,458,076 "", "" 340,415,564 "", "" 367,878,445 "", "" 397,019,711 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_19,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,19,"[""PIUTANG LAINNYA"", "" 15,730,701 "", "" 48,480,449 "", "" 3,437,543 "", "" 44,333,169 "", "" 11,208,761 "", "" 11,469,799 "", "" 35,432,339 "", "" 194,033 "", "" 173,538 "", "" 2,237,498 "", "" 194,380 "", "" 194,079 "", "" 193,029 "", "" 192,729 "", "" 193,564 "", "" 199,983 "", "" 230,335 "", "" 302,147 "", "" 300,605 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_20,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,20,"[""PIUTANG INTER COMPANY"", "" -   "", "" 684,107 "", "" -   "", "" 27,685 "", "" 58,715 "", "" 27,685 "", "" 27,685 "", "" 27,685 "", "" 27,685 "", "" 29,726 "", "" 39,469 "", "" 66,782 "", "" 87,538 "", "" 108,294 "", "" 87,559 "", "" 90,953 "", "" 93,835 "", "" 128,560 "", "" 172,970 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_21,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,21,"[""UANG MUKA"", "" 1,297,952 "", "" 4,973,155 "", "" 8,579,464 "", "" 2,930,883 "", "" 10,090,429 "", "" 4,391,726 "", "" 2,276,205 "", "" 3,855,982 "", "" 6,830,176 "", "" 8,658,969 "", "" 11,024,436 "", "" 8,940,723 "", "" 5,366,265 "", "" 7,579,436 "", "" 4,908,854 "", "" 2,426,124 "", "" 2,963,032 "", "" 2,585,916 "", "" 8,628,414 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_22,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,22,"[""PAJAK DIBAYAR DIMUKA"", "" 21,543,504 "", "" 176,162 "", "" 22,677,373 "", "" 988,570 "", "" 65,657,690 "", "" 70,162,361 "", "" 15,559,820 "", "" 20,158,316 "", "" 24,908,777 "", "" 28,909,660 "", "" 34,454,973 "", "" 38,129,177 "", "" 38,736,559 "", "" 39,548,561 "", "" 52,755,029 "", "" 62,420,939 "", "" 67,274,607 "", "" 76,168,360 "", "" 79,946,711 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_23,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,23,"[""BIAYA DIBAYAR DIMUKA"", "" 3,260,780 "", "" 1,069,946 "", "" 1,492,495 "", "" 1,544,798 "", "" 1,424,818 "", "" 1,413,496 "", "" 1,467,200 "", "" 1,615,982 "", "" 1,503,272 "", "" 1,469,271 "", "" 2,170,847 "", "" 2,116,287 "", "" 2,426,430 "", "" 2,307,320 "", "" 2,190,027 "", "" 2,156,621 "", "" 2,140,820 "", "" 2,040,268 "", "" 1,818,525 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_24,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,24,"[""TOTAL AKTIVA LANCAR"", "" 620,855,202 "", "" 747,168,445 "", "" 819,041,979 "", "" 847,406,611 "", "" 909,295,401 "", "" 941,660,919 "", "" 866,786,974 "", "" 792,678,354 "", "" 777,240,873 "", "" 784,857,248 "", "" 766,670,367 "", "" 788,589,309 "", "" 919,737,481 "", "" 955,668,875 "", "" 871,670,556 "", "" 769,808,301 "", "" 778,294,635 "", "" 1,008,058,173 "", "" 1,026,260,540 "", null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_25,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,25,"[""AKTIVA TIDAK LANCAR"", null, "" -   "", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
wr_masterfile_neraca_26,snapshot_istantoro_2022_mar_2026,MASTERFILE NERACA,26,"[""ASET LAIN-LAIN "", "" 28,000,000 "", "" 34,000,000 "", "" 31,500,000 "", "" 30,800,000 "", "" 30,850,000 "", "" 30,850,000 "", "" 30,200,000 "", "" 30,150,000 "", "" 30,150,000 "", "" 29,968,493 "", "" 29,696,233 "", "" 29,514,727 "", "" 29,464,727 "", "" 29,464,727 "", "" 29,414,727 "", "" 28,819,727 "", "" 28,759,727 "", "" 28,609,727 "", "" 28,354,127 "", null, null, null, null, null, null, null, null, null]"
